s2s_policy_name,ike_version,ike_policy,preshared_key,device_name,device_interface_name,protected_network_name,remote_device_name,remote_device_ip,is_dynamic_ip,remote_protected_network_name
CERNER-APACHE,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,CERNER-APACHE_PEER,159.140.192.112,FALSE,IPv4-Private-172.16.0.0-12
GENBAND,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,GENBAND_PEER,63.149.188.70,FALSE,IPv4-Private-172.16.0.0-12
STROKEAMBUL2-R1,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,STROKEAMBUL2-R1_PEER,107.91.176.112,FALSE,IPv4-Private-172.16.0.0-12
STROKEAMBUL2-R2,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,STROKEAMBUL2-R2_PEER,107.91.176.117,FALSE,IPv4-Private-172.16.0.0-12
SCHOOL-BASED-HEALTH-VAN-2,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,SCHOOL-BASED-HEALTH-VAN-2_PEER,166.152.191.110,FALSE,IPv4-Private-172.16.0.0-12
JOSEPH-BETH,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,JOSEPH-BETH_PEER,216.68.201.170,FALSE,IPv4-Private-172.16.0.0-12
MEDBOARD,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,MEDBOARD_PEER,54.90.244.213,FALSE,IPv4-Private-172.16.0.0-12
CAPS,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,CAPS_PEER,12.40.122.45,FALSE,IPv4-Private-172.16.0.0-12
CCG,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,CCG_PEER,98.103.161.234,FALSE,IPv4-Private-172.16.0.0-12
AMERICAN-WELL,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,AMERICAN-WELL_PEER,207.211.42.132,FALSE,IPv4-Private-172.16.0.0-12
CARDIONET,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,CARDIONET_PEER,208.67.125.4,FALSE,IPv4-Private-172.16.0.0-12
LIFEPOINT,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,LIFEPOINT_PEER,63.87.232.161,FALSE,IPv4-Private-172.16.0.0-12
ASTERES,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,ASTERES_PEER,66.181.9.35,FALSE,IPv4-Private-172.16.0.0-12
ISCHEMAVIEW,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,ISCHEMAVIEW_PEER,198.61.193.222,FALSE,IPv4-Private-172.16.0.0-12
EXEMPLO,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,EXEMPLO_PEER,72.15.228.84,FALSE,IPv4-Private-172.16.0.0-12
IRYTHM,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,IRYTHM_PEER,52.202.25.183,FALSE,IPv4-Private-172.16.0.0-12
VIRACOR-IBT,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,VIRACOR-IBT_PEER,192.150.207.2,FALSE,IPv4-Private-172.16.0.0-12
EDSI,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,EDSI_PEER,173.241.229.28,FALSE,IPv4-Private-172.16.0.0-12
ROI,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,ROI_PEER,128.136.147.49,FALSE,IPv4-Private-172.16.0.0-12
IRYTHM,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,IRYTHM_PEER,34.206.16.93,FALSE,IPv4-Private-172.16.0.0-12
TETON-SPINE-RAD,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,TETON-SPINE-RAD_PEER,207.183.166.226,FALSE,IPv4-Private-172.16.0.0-12
STRATA,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,STRATA_PEER,192.65.158.4,FALSE,IPv4-Private-172.16.0.0-12
WESTON-ERAD,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,WESTON-ERAD_PEER,96.65.181.137,FALSE,IPv4-Private-172.16.0.0-12
ATHENA,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,ATHENA_PEER,208.78.140.250,FALSE,IPv4-Private-172.16.0.0-12
AGS-1,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,AGS-1_PEER,14.140.166.67,FALSE,IPv4-Private-172.16.0.0-12
AGS-2,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,AGS-2_PEER,103.117.181.19,FALSE,IPv4-Private-172.16.0.0-12
AGS-3,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,AGS-3_PEER,3.111.195.179,FALSE,IPv4-Private-172.16.0.0-12
EHEALTH-2,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,EHEALTH-2_PEER,68.70.52.12,FALSE,IPv4-Private-172.16.0.0-12
ROCHE,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,ROCHE_PEER,216.37.20.18,FALSE,IPv4-Private-172.16.0.0-12
OSCAR,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,OSCAR_PEER,52.44.118.199,FALSE,IPv4-Private-172.16.0.0-12
ARAMARK-AVON,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,ARAMARK-AVON_PEER,166.145.203.173,FALSE,IPv4-Private-172.16.0.0-12
