s2s_policy_name,ike_version,ike_policy,preshared_key,device_name,device_interface_name,protected_network_name,remote_device_name,remote_device_ip,is_dynamic_ip,remote_protected_network_name
CS-MEDICAL,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,CS-MEDICAL_PEER,98.186.131.6,FALSE,IPv4-Private-172.16.0.0-12
RIBBON,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,RIBBON_PEER,63.149.188.44,FALSE,IPv4-Private-172.16.0.0-12
CARIS,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,CARIS_PEER,216.32.80.120,FALSE,IPv4-Private-172.16.0.0-12
CONNEXALL,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,CONNEXALL_PEER,67.215.195.200,FALSE,IPv4-Private-172.16.0.0-12
LOGIX-HEALTH,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,LOGIX-HEALTH_PEER,66.97.189.20,FALSE,IPv4-Private-172.16.0.0-12
OPEN-PM-AWS,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,OPEN-PM-AWS_PEER,3.128.137.200,FALSE,IPv4-Private-172.16.0.0-12
CRADLE-POINT-ELKO-NV,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,CRADLE-POINT-ELKO-NV_PEER,63.44.9.40,FALSE,IPv4-Private-172.16.0.0-12
ELEVATION-IMAGING,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,ELEVATION-IMAGING_PEER,66.205.223.58,FALSE,IPv4-Private-172.16.0.0-12
CARDIOPULSE2,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,CARDIOPULSE2_PEER,52.249.241.32,FALSE,IPv4-Private-172.16.0.0-12
ERIE-OBGYN,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,ERIE-OBGYN_PEER,66.211.219.10,FALSE,IPv4-Private-172.16.0.0-12
ELEVATION-IMAGING-GILLETTE-WY,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,ELEVATION-IMAGING-GILLETTE-WY_PEER,64.184.230.238,FALSE,IPv4-Private-172.16.0.0-12
OBHG-ADT-MED-RECS,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,OBHG-ADT-MED-RECS_PEER,3.228.117.141,FALSE,IPv4-Private-172.16.0.0-12
TERADATA-2022,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,TERADATA-2022_PEER,141.206.240.80,FALSE,IPv4-Private-172.16.0.0-12
ARCADIA,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,ARCADIA_PEER,52.87.103.171,FALSE,IPv4-Private-172.16.0.0-12
NUWAVE-ASHBURN,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,NUWAVE-ASHBURN_PEER,204.10.92.35,FALSE,IPv4-Private-172.16.0.0-12
NUWAVE-LV,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,NUWAVE-LV_PEER,74.119.9.35,FALSE,IPv4-Private-172.16.0.0-12
RXHEALTH,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,RXHEALTH_PEER,40.121.130.88,FALSE,IPv4-Private-172.16.0.0-12
WESTON-HIE,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,WESTON-HIE_PEER,34.206.5.29,FALSE,IPv4-Private-172.16.0.0-12
MDSTAFF-TO-EPIC,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,MDSTAFF-TO-EPIC_PEER,198.17.160.2,FALSE,IPv4-Private-172.16.0.0-12
SOUND-PHYSICIANS-2022,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,SOUND-PHYSICIANS-2022_PEER,4.79.107.187,FALSE,IPv4-Private-172.16.0.0-12
STUART-CARDIOLOGY-2022,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,STUART-CARDIOLOGY-2022_PEER,70.63.141.5,FALSE,IPv4-Private-172.16.0.0-12
UNION-MASSILLON-CARDIOLOGY,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,UNION-MASSILLON-CARDIOLOGY_PEER,199.26.244.52,FALSE,IPv4-Private-172.16.0.0-12
RAMSOFT,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,RAMSOFT_PEER,20.114.205.136,FALSE,IPv4-Private-172.16.0.0-12
ZOTEC-VPN,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,ZOTEC-VPN_PEER,13.59.222.132,FALSE,IPv4-Private-172.16.0.0-12
IMAGELINK-MONROE,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,IMAGELINK-MONROE_PEER,198.37.30.31,FALSE,IPv4-Private-172.16.0.0-12
LCMC-NEW-ORLEANS-VPN,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,LCMC-NEW-ORLEANS-VPN_PEER,69.85.212.100,FALSE,IPv4-Private-172.16.0.0-12
ALADDINS-VPN,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,ALADDINS-VPN_PEER,23.120.182.145,FALSE,IPv4-Private-172.16.0.0-12
LAITEK,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,LAITEK_PEER,192.243.220.206,FALSE,IPv4-Private-172.16.0.0-12
CENTAURI-VPN-2022,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,CENTAURI-VPN-2022_PEER,67.216.170.132,FALSE,IPv4-Private-172.16.0.0-12
MEDICALLY-HOME,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,MEDICALLY-HOME_PEER,35.227.25.15,FALSE,IPv4-Private-172.16.0.0-12
INGENIOUS-MED-VPN,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,INGENIOUS-MED-VPN_PEER,207.54.131.49,FALSE,IPv4-Private-172.16.0.0-12
ECLINICWORKS-VPN,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,ECLINICWORKS-VPN_PEER,20.98.168.10,FALSE,IPv4-Private-172.16.0.0-12
APS-VPN,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,APS-VPN_PEER,24.52.121.5,FALSE,IPv4-Private-172.16.0.0-12
HDAI,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,HDAI_PEER,69.147.161.68,FALSE,IPv4-Private-172.16.0.0-12
SOLARITY,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,SOLARITY_PEER,66.119.23.169,FALSE,IPv4-Private-172.16.0.0-12
FINVI,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,FINVI_PEER,18.204.59.110,FALSE,IPv4-Private-172.16.0.0-12
TRIDENT-CARE,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,TRIDENT-CARE_PEER,208.82.200.50,FALSE,IPv4-Private-172.16.0.0-12
TECHM,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,TECHM_PEER,119.151.16.96,FALSE,IPv4-Private-172.16.0.0-12
HURON-VPN-2023,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,HURON-VPN-2023_PEER,72.10.184.4,FALSE,IPv4-Private-172.16.0.0-12
POINT-CLICK-CARE-VPN,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,POINT-CLICK-CARE-VPN_PEER,67.216.238.1,FALSE,IPv4-Private-172.16.0.0-12
BAYESIAN-PROD,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,BAYESIAN-PROD_PEER,18.220.221.242,FALSE,IPv4-Private-172.16.0.0-12
BAYESIAN-TEST,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,BAYESIAN-TEST_PEER,18.188.71.207,FALSE,IPv4-Private-172.16.0.0-12
OPTUM-VPN-AKRON,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,OPTUM-VPN-AKRON_PEER,40.76.147.19,FALSE,IPv4-Private-172.16.0.0-12
CIENA-2023-VPN,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,CIENA-2023-VPN_PEER,20.110.74.39,FALSE,IPv4-Private-172.16.0.0-12
CAREPORT-WELLSKY,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,CAREPORT-WELLSKY_PEER,192.31.125.3,FALSE,IPv4-Private-172.16.0.0-12
BAMBOO-HEALTH,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,BAMBOO-HEALTH_PEER,35.168.166.143,FALSE,IPv4-Private-172.16.0.0-12
EASTERNUTAH,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,EASTERNUTAH_PEER,68.66.131.86,FALSE,IPv4-Private-172.16.0.0-12
STRYKER-VPN,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,STRYKER-VPN_PEER,3.143.136.121,FALSE,IPv4-Private-172.16.0.0-12
MEDUIT,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,MEDUIT_PEER,209.43.71.194,FALSE,IPv4-Private-172.16.0.0-12
CCAD-VPN,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,CCAD-VPN_PEER,5.152.248.14,FALSE,IPv4-Private-172.16.0.0-12
ATLAS-3,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,ATLAS-3_PEER,52.89.79.187,FALSE,IPv4-Private-172.16.0.0-12
INTRADIEM-AWS-PROD,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,INTRADIEM-AWS-PROD_PEER,3.134.41.177,FALSE,IPv4-Private-172.16.0.0-12
INTRADIEM-AWS-NON-PROD,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,INTRADIEM-AWS-NON-PROD_PEER,3.12.173.71,FALSE,IPv4-Private-172.16.0.0-12
NORTH-SHORE-GASTRO,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,NORTH-SHORE-GASTRO_PEER,64.225.229.2,FALSE,IPv4-Private-172.16.0.0-12
MURJ,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,MURJ_PEER,52.26.26.195,FALSE,IPv4-Private-172.16.0.0-12
DYANIA,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,DYANIA_PEER,34.162.230.114,FALSE,IPv4-Private-172.16.0.0-12
VYNE,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,VYNE_PEER,4.21.27.226,FALSE,IPv4-Private-172.16.0.0-12
PHILIPS-BIOTEL,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,PHILIPS-BIOTEL_PEER,3.220.251.49,FALSE,IPv4-Private-172.16.0.0-12
PARRISH,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,PARRISH_PEER,75.112.156.111,FALSE,IPv4-Private-172.16.0.0-12
READYSET,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,READYSET_PEER,23.21.96.91,FALSE,IPv4-Private-172.16.0.0-12
STERIS,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,STERIS_PEER,71.6.8.215,FALSE,IPv4-Private-172.16.0.0-12
DDC-PEDS-CARDIO-MIDDLEFIELD,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,DDC-PEDS-CARDIO-MIDDLEFIELD_PEER,40.135.181.62,FALSE,IPv4-Private-172.16.0.0-12
STUART-CARDIOLOGY-AWS,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,STUART-CARDIOLOGY-AWS_PEER,54.80.185.149,FALSE,IPv4-Private-172.16.0.0-12
ARCADIA_2024,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,ARCADIA_2024_PEER,44.217.44.209,FALSE,IPv4-Private-172.16.0.0-12
CRYSTAL-CLINIC,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,CRYSTAL-CLINIC_PEER,8.42.147.130,FALSE,IPv4-Private-172.16.0.0-12
SOLVENTUM-3M,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,SOLVENTUM-3M_PEER,44.215.101.141,FALSE,IPv4-Private-172.16.0.0-12
WOUND-VISION,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,WOUND-VISION_PEER,52.162.216.11,FALSE,IPv4-Private-172.16.0.0-12
E-RAD-CONCORD-IMAGING,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,E-RAD-CONCORD-IMAGING_PEER,162.155.152.178,FALSE,IPv4-Private-172.16.0.0-12
SECURE-ASSESS-TEST,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,SECURE-ASSESS-TEST_PEER,44.217.195.188,FALSE,IPv4-Private-172.16.0.0-12
RHYME-TEST,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,RHYME-TEST_PEER,54.237.42.32,FALSE,IPv4-Private-172.16.0.0-12
RHYME-VPN-PROD,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,RHYME-VPN-PROD_PEER,34.196.0.212,FALSE,IPv4-Private-172.16.0.0-12
E-RAD-BELDIN-IMAGING,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,E-RAD-BELDIN-IMAGING_PEER,74.218.137.214,FALSE,IPv4-Private-172.16.0.0-12
EHEALTHTECH,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,EHEALTHTECH_PEER,137.116.126.54,FALSE,IPv4-Private-172.16.0.0-12
